"work_id","conference_label","conference_short_title","conference_theme_title","conference_year","conference_organizers","conference_series","conference_hosting_institutions","conference_city","conference_state","conference_country","conference_url","work_title","work_url","work_authors","work_type","parent_work_id","keywords","languages","topics"
"1","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Writing about It: Documentation and Humanities Computing","","Julia Flanders","paper","","","",""
"2","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Integration of Markup Languages and Object-Oriented Techniques in a Hypermedia Methodology","","Antonio Navarro;Alfredo Fernandez-Valmayor;Baltasar Fernandez-Manjon;Jose-Luis Sierra","paper","","","",""
"3","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Workbook Application for Digital Text Analysis","","Worthy N. Martin;Olga Gurevich;Thomas B. Horton;Robert Bingler","paper","","","",""
"4","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Middle English Grammar Project","","Jeremy Smith;Simon Horobin","paper","7169","","",""
"5","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Two Historical Linguistic Atlases","","Margaret Laing;Keith Williamson","paper","7169","","",""
"6","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","WebCAPE - Language Placement Testing over the Web","","Charles D. Bush","paper","","","",""
"7","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Technophobes, or the Nintendo Generation? A Study of the Use of ICT in Teaching and Learning in Modern Languages","","Claire Warwick","paper","","","",""
"8","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Computer-Aided Acquisition of Language Teaching Materials from Corpora","","Svetlana Sheremetyeva","paper","","","",""
"9","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Records to Go: Building the Humbul Humanities Hub","","Michael Fraser","poster / demo / art installation","","","",""
"10","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","LOOKSEE: Software Tools for Image-Based Humanities Computing","","Matthew G. Kirschenbaum","poster / demo / art installation","","","",""
