"id","conference","title","work_type","url","parent_session"
"1","1","Writing about It: Documentation and Humanities Computing","1","",""
"2","1","Integration of Markup Languages and Object-Oriented Techniques in a Hypermedia Methodology","1","",""
"3","1","A Workbook Application for Digital Text Analysis","1","",""
"4","1","The Middle English Grammar Project","1","","7169"
"5","1","Two Historical Linguistic Atlases","1","","7169"
"6","1","WebCAPE - Language Placement Testing over the Web","1","",""
"7","1","Technophobes, or the Nintendo Generation? A Study of the Use of ICT in Teaching and Learning in Modern Languages","1","",""
"8","1","Computer-Aided Acquisition of Language Teaching Materials from Corpora","1","",""
"9","1","Records to Go: Building the Humbul Humanities Hub","2","",""
"10","1","LOOKSEE: Software Tools for Image-Based Humanities Computing","2","",""
"11","1","A Wake Newslitter - Electronic Edition","2","",""
"12","1","Modeling the Crystal Palace","2","",""
"13","1","Solutions for the Delivery of Thematically-Tagged Text","1","",""
"14","1","Meaning and Interpretation of Markup","1","",""
"15","1","A Formal Model for Lexical Information","1","",""
"16","1","Teaching Cybertext Writing, Design, and Editing: Language, Image, Linking, Thinking","1","",""
"17","1","A Toolbox for the Electronic Classroom","1","",""
"18","1","Ekphrasis and the Internet: Connecting the Verbal and the Visual with Computer-mediated Student Projects in an Undergraduate Humanities Class","1","",""
"19","1","SMART Project: Methods for Computer-based Research of Premodern Chinese Texts","1","",""
"20","1","Word Order in Latin Prose Applied to a Case of Authorship Attribution: Book IV of the Stratagemata by Sextus Iulius Frontinus (1st century AD). The Contribution of Quantitative Methods via Computerized Text Analysis","1","",""
"21","1","Back to the Cave of Shadows: Stylistic Fingerprints in Authorship Attribution","1","",""
"22","1","The Digital Performance Archive","2","",""
"23","1","An Assistant Tool for Verse-making in Basque-based on Two-Level Morphology","2","",""
"24","1","The Second Version of the ICAME CD-ROM","2","",""
"25","1","Working with Alignment of Text and Sound in Spoken Corpora","2","",""
"26","1","Text Structure vs. Encoded Structure - Dealing with Mixed Genres and Ambiguous Texts","1","",""
"27","1","Perdita's Progress: Raising Standards in a TEI-based Approach to Cataloguing Early Modern Manuscripts","1","",""
"28","1","Image Description at the William Blake Archive","1","",""
"29","1","Kirrkirr: Software for Browsing and Visual Exploration of a Structured Warlpiri Dictionary","1","",""
"30","1","New Paths in Middle High German Lexicography: Dictionaries Interlinked Electronically","1","",""
"31","1","Stephen Crane and the 'New-York Tribune': a Case Study in Traditional and Non-traditional Authorship Attribution","1","",""
"32","1","Making MITH a Reality: The Maryland Institute for Technology in the Humanities, Year Two","3","",""
"33","1","EDINA: Edinburgh Data and Information Access","2","",""
"34","1","A Prolog System for the Automatic Generation of Bilingual Dictionaries","2","",""
"35","1","Humanities Computing and Campus Computer/Information literacy","2","",""
"36","1","John Venn and the Alumni Cantabrigienses - an example of applied natural language processing techniques in enhancing the utility of a historical database","2","",""
"37","1","The ""Biblioteca Italiana Telematica"" Project (http://cibit.unipi.it): a Progress Report","1","",""
"38","1","Poetic Prosthetic","1","",""
"39","1","An American National Corpus: a Large Balanced Text Corpus for American English","1","",""
"40","1","Electric Theory (Truth, Use, and Method)","1","","7168"
"41","1","French Neo-Structuralist Schools and Industrial Text Analysis","1","","7168"
"42","1","A Theory for Literature (Created for the World Wide Web, E-Mail, Chat Spaces, Databases, and Other Electronic Technologies)","1","","7168"
"43","1","Computer-Mediated Discourse, Reception Theory, and Versioning","1","","7168"
"44","1","The FALMER Project: Toward an Electronic Critical Edition","1","",""
"45","1","The Miguel Cervantes Digital Library: The Hispanic Voice on the WEB","1","",""
"46","1","Textual Variation, Electronic Editions and Hypertext","1","",""
"47","1","Computing in the School of English and Scottish Language And Literature (SESLL) at the University of Glasgow","2","",""
"48","1","Experience and Expertise: The Humanities Advanced Technology and Information Institute, University of Glasgow","2","",""
"49","1","A Case Study of an Evaluation Questionnaire Concerning the Integration of a Hypermedia Project in University Courses","2","",""
"50","1","Collaborative Campus: Rhetoric, Technology and Classroom Re-Composition","2","",""
"51","1","Machine Learning Support for Evaluation and Quality Control","1","",""
"52","1","A Corpus-Based Methodology for Identifying Non-nominal ""It"": Rule-Based and Machine Learning Approaches","1","",""
"53","1","Binomials and the Computer: a Study in Corpus-Based Phraseology","1","",""
"54","1","ACAD - a Cambridge Alumni Database","1","",""
"55","1","New Models for Electronic Publishing","1","",""
"56","1","Academic Collaboration On Line: The SOL as a Case Study","1","",""
"57","1","Dating Dickinson: an Experimental Approach to Stylochronometry","2","",""
"58","1","A Comparison of Methods for the Attribution of Authorship of Popular Fiction","2","",""
"59","1","Computational Methods for the Study of Multilingual Corpora","2","",""
"60","1","A System for Dynamic Text Corpus Management (with an Example Corpus of the Russian Mass Media of the 1990s)","2","",""
"61","1","XSL - Characteristics, Status, and Potentials for Text Processing Applications in the Humanities","1","",""
"62","1","Metainformation Strategies for Electronic Resources","1","",""
"63","1","On Mock-scholarly, Faux-casual, and Cod Philosophy: Patterns of Diachronic Change in a British Newspaper","1","",""
"64","1","Primroses and Power: a Study on Linguistic Excellence in Political Discourse","1","",""
"65","1","The Statistical Analysis of Style: How Language Means in Beckett","1","",""
"66","1","Border Crossing: Engineers, Papyrologists, and the Graphical Use Interface","1","",""
"67","1","Trajan's Column: Building a WWW Image-Database","1","",""
"68","1","Digital Images for Online Distance Education in the Humanities","1","",""
"69","1","Books into Bytes: The ""Deutsches Wörterbuch"" on CD-ROM and on the Internet","2","",""
"70","1","Construction of Russian Corpus-Driven Dictionary Based and Monitor Corpora","2","",""
"71","1","The MATE Workbench - a Tool for XML Corpus Annotation","2","",""
"72","1","Austrian Academy Corpus - Doing literary markup by means of XML","2","",""
"73","1","The Humanities Computing Job Market","3","",""
"74","1","Textbases and Databases: Integrating Library Catalogs with Digital Libraries","1","",""
"75","1","Mapping 18th Century Structures of Knowledge: the Renvois System in Diderot's Encyclopédie","1","",""
"76","1","Multi Dimensions Concept-Based Information Retrieval System","1","",""
"77","1","Image Analysis as a Tool for Automating the Integration of Editorial Hypertext with Facsimile-based Digital Editions: the Experience of the Electronic Edition of Ruskin's Modern Painters I","1","",""
"78","1","Automatical Text Aligning in a Parallel Text Corpus","2","",""
"79","1","A Pilot Study in the Use of E-Books for Learning","2","",""
"80","1","Developing and Teaching with Computer-based Courseware in History: the History Courseware Consortium","2","",""
"81","1","Griffith in Context: a Multimedia Exploration of The Birth of a Nation","2","",""
"82","1","Developing a User Interface for the Historical Thesaurus of English Ingres Database","1","","7841"
"83","1","The Electronic Scottish National Dictionary: Work in Progress","1","","7841"
"84","1","Early Dictionaries of English and Historical Corpora","1","","7841"
"85","1","Supporting Digital Scholarship: a Project Funded by the Andrew W. Mellon Foundation","3","",""
"86","1","The Role of the Scholarly Associations in Humanities Education","3","",""
"87","1","New Tools for Learners","2","",""
"88","1","Enriching Drawing","2","",""
"89","1","Caught in the Decameron Web: New Tools for Scholars and Teachers","2","",""
"90","1","Like a Bird on a Wire: WWW and Remote Learners in British Columbia","2","",""
"91","1","On Consensus between Tree-representations of Linguistic Data","1","",""
"92","1","An Electronic Lexicon of Nominalizations: NOMLEX","1","",""
"93","1","CAT : A Jurilinguistic Application of Automatic Speech to Text Transcription","1","",""
"94","1","Shouting and Screaming: Manner and Noise Verbs in Communication","1","",""
"95","1","The Style-Marker Mapping Project: a Rationale and Progress Report","1","",""
"96","1","Comparative Study of the Lexical and Orthographic Variety in the Mediæval Slavonic Psalter","1","",""
"97","1","Subject Specific Search Engines for the Humanities","2","",""
"98","1","The Academic vs. Subject Corpus: Development of Criteria for the Teaching of ESP According to Lexical Needs in Spanish Polytechnic Courses","2","",""
"99","1","Hyperfiction Reading Research: An Experiment in Method","2","",""
"100","1","Hyperlectures: Teaching Postmodern Culture on the Web","2","",""
"101","1","Preservation of Emotional Tone Patterns In Human and Machine Translations Between English and French","2","",""
"102","2","Reality Check: Projects and Prospects in Digital Humanities","8","",""
"103","2","What's Interesting for Humanities Computing About Whitman's Poetry Manuscripts?","3","",""
"104","2","Beyond the Web: TEI and the Ebook Revolution""","1","",""
"105","2","Dancing with DALF: Towards a Digital Archive of Letters written by Flemish authors and composers in the 19th and 20th century","1","",""
"106","2","Introducting Phelix: an open XML database system","1","",""
"107","2","International Strategic & Policy Issues in Networking Digital Resources in the Humanities","3","",""
"108","2","Image Retrieval Knowledge and Art History Curriculum in the Digital Age","1","",""
"109","2","Mimetic Metadata: Linguistic Representations of Visual Objects in Image-Based Electronic Projects","1","",""
"110","2","Digital Pedagogy in Film and Media Studies","1","",""
"111","2","Building flexible language-learning systems: Perl and HTML vs. XML and XSL","1","",""
"112","2","The Time Course of Language Change","1","",""
"113","2","Building spell-checking facilities for ancient Spanish","1","",""
"114","2","The Evolution of Standard written English: A Corpus approac","1","",""
"115","2","By the Orlando Project","1","",""
"116","2","The DIY commentary; or, what the reference and the link told each other","1","",""
"117","2","NGSW: Putting Voices Online","1","",""
"118","2","Creating Reflecting Interfaces: Discipline, Project, and Audience Specific Internet Archives","1","",""
"119","2","Forensic Technologies and the Tracing of Identities","1","",""
"120","2","Disciplining the Traditional Student Subject in Computer-Composition","1","",""
"121","2","The W3C Consortium and Standards","3","",""
"122","2","The MA in Electronic Communication and Publishing at UCL","1","",""
"123","2","The M.Phil in History and Computing at the University of    Glasgow","1","",""
"124","2","Toward a Dynamic, Generative Evaluation Toolbox: a Roundtable","3","",""
"125","2","Categorisation techniques in computer assisted reading and analysis of texts (CARAT) in the humanities","1","",""
"126","2","Reconstructing the stemma of a textual tradition from the order of sections in manuscripts","1","",""
"127","2","Co-Cited Author Maps as Real-Time Interfaces for  Web-Based Document Retrieval in the Humanities","1","",""
"128","2","More than Words: Astonishment and Special Effect in Multimedia","1","",""
"129","2","An e|mediated rhetoric of visuality","1","",""
"130","2","TEvent 1: e|mediated typo|graphicacy 'Funny Signs' was an Acrobat 'visual lecture' for graphic design students, comprising firstly, a 'paper' on semiotic [de]sign-as-ideology, written and designed as screen-statements of 7-30 words (with occasional hidden rollovers), in large white text on a black background (36 point size on the original Quark XPress). The second part was a 'slideshow' of abou...","1","",""
"131","2","The Visual Display of Literary Complexity in a Hypertext Critical Edition of William Faulkner's The Sound and the Fury","1","",""
"132","2","Immersive Textuality: The Editing of  Virtual Spaces","1","",""
"133","2","The Pompey Project: Digital Research and Virtual Reconstruction of Romes First Theatre","1","",""
"134","2","From mathematical classification to thematic analysis of philosophical texts","1","",""
"135","2","Linguistic Description and Exploration using RDF","1","",""
"136","2","OpenText.org: An Experiment in Internet-based Collaborative  Humanities Scholarship","1","",""
"137","2","The Virtual Lightbox: The Potential of Peer-to-Peer Humanities Computing","1","",""
"138","2","A New Framework for Web-based Contributory Encyclopedias","1","",""
"139","2","Digitizing Difference: The Challenge of Heterogeneity in the Sources of Early Modern Science","3","",""
"140","2","Information extraction with INTEX","1","",""
"141","2","Parsing words and sentences ambiguous between opposite meanings using INTEX finite state grammars: You cant take ambiguity too seriously","1","",""
"142","2","Parsing a Web site with linguistic resources : GlossaNet","1","",""
"143","2","Practical extraction of meaning from markup using XSLT","1","",""
