institution_country,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,work_id,total
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
United States,120.0,172.0,146.0,216.0,116.0,192.0,135.0,320.0,327.0,207.0,323.0,401.0,398.0,189.0,475.0,3737.0
Germany,13.0,11.0,22.0,5.0,34.0,18.0,109.0,45.0,159.0,65.0,192.0,154.0,86.0,224.0,157.0,1294.0
United Kingdom,38.0,22.0,40.0,37.0,49.0,73.0,71.0,76.0,133.0,86.0,119.0,86.0,51.0,149.0,103.0,1133.0
Canada,31.0,22.0,49.0,28.0,58.0,47.0,53.0,103.0,107.0,70.0,60.0,107.0,56.0,69.0,156.0,1016.0
France,27.0,5.0,0.0,4.0,9.0,6.0,19.0,10.0,36.0,24.0,111.0,47.0,47.0,172.0,76.0,593.0
Netherlands,8.0,5.0,13.0,4.0,15.0,13.0,33.0,23.0,40.0,35.0,81.0,36.0,48.0,167.0,39.0,560.0
Japan,2.0,4.0,6.0,29.0,36.0,24.0,20.0,18.0,35.0,36.0,35.0,31.0,21.0,28.0,47.0,372.0
Switzerland,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,50.0,32.0,70.0,50.0,29.0,44.0,32.0,325.0
Italy,8.0,3.0,18.0,8.0,4.0,3.0,14.0,17.0,36.0,10.0,80.0,8.0,20.0,78.0,5.0,312.0
Australia,10.0,3.0,4.0,3.0,10.0,3.0,3.0,17.0,21.0,101.0,14.0,7.0,16.0,16.0,13.0,241.0
Austria,2.0,0.0,3.0,0.0,0.0,1.0,5.0,3.0,15.0,1.0,39.0,17.0,19.0,44.0,42.0,191.0
Ireland,1.0,0.0,6.0,27.0,6.0,7.0,7.0,18.0,21.0,6.0,22.0,22.0,4.0,29.0,3.0,179.0
Spain,13.0,0.0,1.0,0.0,1.0,2.0,10.0,0.0,18.0,3.0,32.0,15.0,36.0,17.0,17.0,165.0
,6.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,11.0,11.0,5.0,46.0,11.0,38.0,14.0,164.0
Taiwan,1.0,0.0,0.0,3.0,2.0,11.0,11.0,2.0,18.0,24.0,12.0,16.0,6.0,29.0,27.0,162.0
Poland,2.0,2.0,2.0,3.0,8.0,6.0,6.0,6.0,7.0,6.0,38.0,15.0,18.0,27.0,6.0,152.0
Finland,12.0,4.0,15.0,1.0,7.0,6.0,10.0,7.0,0.0,2.0,24.0,2.0,1.0,34.0,15.0,140.0
Mexico,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1.0,7.0,1.0,9.0,10.0,60.0,9.0,7.0,118.0
Belgium,0.0,6.0,6.0,0.0,2.0,3.0,10.0,6.0,10.0,4.0,24.0,8.0,5.0,26.0,7.0,117.0
Russia,0.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,13.0,16.0,14.0,20.0,20.0,99.0
Israel,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,17.0,2.0,5.0,3.0,6.0,8.0,8.0,61.0
Greece,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,28.0,1.0,2.0,5.0,8.0,57.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,14.0,7.0,3.0,9.0,12.0,53.0
Norway,5.0,5.0,6.0,2.0,5.0,2.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,51.0
China,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,10.0,23.0,46.0
Sweden,0.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,4.0,6.0,13.0,4.0,0.0,6.0,0.0,44.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,10.0,5.0,6.0,34.0
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,19.0,6.0,0.0,34.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,7.0,0.0,0.0,11.0,32.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,4.0,8.0,2.0,2.0,25.0
Denmark,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,8.0,25.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,22.0
Slovenia,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,2.0,20.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,8.0,0.0,20.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,13.0,19.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,6.0,2.0,17.0
South Korea,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,16.0
Serbia,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0
New Zealand,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,11.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,11.0
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,10.0
Hungary,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0
