work_id,n_authors,title,work_type,conference_id,label,year,city,country,series_abbreviation,series_title
563,5,The Identification of Spelling Variants in English and German Historical Texts: Manual or Automatic?,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
564,3,A General Framework for Feature Identification,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
565,1,Demand Balancing in Fee-free Resource Sharing Community Networks with Unequal Resource Distribution,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
566,2,TEI P5: Whats in It for Me?,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
567,1,Méthodes automatiques de datation d'un texte,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
568,3,Critique de la bibliométrie comme outil d'évaluation; vers une approche qualitative.,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
569,3,Humanities' Computings,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
570,2,Using Software Modeling Techniques to Design Document and Metadata Structures,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
571,3,The Multilingual Markup Website,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
572,3,Le résumé automatique dans la plate - forme EXCOM,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
573,1,Third-Party Annotations in the Digital Edition Using EDITOR,1.0,7,2006 - Sorbonne,2006,Paris,France,ADHO | ACH/ICCH | ALLC/EADH | ACH/ALLC,ADHO Annual Conference | Association for Computers and the Humanities / International Conference on Computers and the Humanities | Association for Literary and Linguistic Computing / European Association of Digital Humanities | Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing
